sample_id,image_path,shrinkage,thread_defect,incomplete_molding,burr,contamination,split
burr_bottom_ng_camera_1_1,images/burr_bottom_ng/burr_bottom_ng_camera_1_1.png,0,0,0,1,0,train
burr_bottom_ng_camera_1_10,images/burr_bottom_ng/burr_bottom_ng_camera_1_10.png,0,0,0,1,0,train
burr_bottom_ng_camera_1_100,images/burr_bottom_ng/burr_bottom_ng_camera_1_100.png,0,0,0,1,0,test
burr_bottom_ng_camera_1_11,images/burr_bottom_ng/burr_bottom_ng_camera_1_11.png,0,0,0,1,0,val
burr_bottom_ng_camera_1_12,images/burr_bottom_ng/burr_bottom_ng_camera_1_12.png,0,0,0,1,0,train
burr_bottom_ng_camera_1_13,images/burr_bottom_ng/burr_bottom_ng_camera_1_13.png,0,0,0,1,0,train
burr_bottom_ng_camera_1_14,images/burr_bottom_ng/burr_bottom_ng_camera_1_14.png,0,0,0,1,0,train
burr_bottom_ng_camera_1_15,images/burr_bottom_ng/burr_bottom_ng_camera_1_15.png,0,0,0,1,0,val
burr_bottom_ng_camera_1_16,images/burr_bottom_ng/burr_bottom_ng_camera_1_16.png,0,0,0,1,0,train
burr_bottom_ng_camera_1_17,images/burr_bottom_ng/burr_bottom_ng_camera_1_17.png,0,0,0,1,0,train
burr_bottom_ng_camera_1_18,images/burr_bottom_ng/burr_bottom_ng_camera_1_18.png,0,0,0,1,0,train
burr_bottom_ng_camera_1_19,images/burr_bottom_ng/burr_bottom_ng_camera_1_19.png,0,0,0,1,0,train
burr_bottom_ng_camera_1_2,images/burr_bottom_ng/burr_bottom_ng_camera_1_2.png,0,0,0,1,0,val
burr_bottom_ng_camera_1_20,images/burr_bottom_ng/burr_bottom_ng_camera_1_20.png,0,0,0,1,0,val
burr_bottom_ng_camera_1_21,images/burr_bottom_ng/burr_bottom_ng_camera_1_21.png,0,0,0,1,0,val
burr_bottom_ng_camera_1_22,images/burr_bottom_ng/burr_bottom_ng_camera_1_22.png,0,0,0,1,0,train
burr_bottom_ng_camera_1_23,images/burr_bottom_ng/burr_bottom_ng_camera_1_23.png,0,0,0,1,0,train
burr_bottom_ng_camera_1_24,images/burr_bottom_ng/burr_bottom_ng_camera_1_24.png,0,0,0,1,0,train
burr_bottom_ng_camera_1_25,images/burr_bottom_ng/burr_bottom_ng_camera_1_25.png,0,0,0,1,0,train
burr_bottom_ng_camera_1_26,images/burr_bottom_ng/burr_bottom_ng_camera_1_26.png,0,0,0,1,0,train
burr_bottom_ng_camera_1_27,images/burr_bottom_ng/burr_bottom_ng_camera_1_27.png,0,0,0,1,0,train
burr_bottom_ng_camera_1_28,images/burr_bottom_ng/burr_bottom_ng_camera_1_28.png,0,0,0,1,0,train
burr_bottom_ng_camera_1_29,images/burr_bottom_ng/burr_bottom_ng_camera_1_29.png,0,0,0,1,0,val
burr_bottom_ng_camera_1_3,images/burr_bottom_ng/burr_bottom_ng_camera_1_3.png,0,0,0,1,0,train
burr_bottom_ng_camera_1_30,images/burr_bottom_ng/burr_bottom_ng_camera_1_30.png,0,0,0,1,0,val
burr_bottom_ng_camera_1_31,images/burr_bottom_ng/burr_bottom_ng_camera_1_31.png,0,0,0,1,0,train
burr_bottom_ng_camera_1_32,images/burr_bottom_ng/burr_bottom_ng_camera_1_32.png,0,0,0,1,0,train
burr_bottom_ng_camera_1_33,images/burr_bottom_ng/burr_bottom_ng_camera_1_33.png,0,0,0,1,0,train
